INST_TEMP_ID,temp_id,WESTERN_NAME,CHINESE_NAME_HANZI,Shortened Chinese Name,Chinese_name_rom,Parent Org ID,Parent Org Name,CHINESE_ALT_NAME_HANZI,CATEGORY,SUBCATEGORY,GENDER_SERVED,AFFILIATION,CHRISTIAN TRADITION,Religious Family,RECORDED PLACE,GEOCODE,NOTES,SOURCE
南京基督覆臨安息日會辦公室,TN_0308,Office of Seventh-day Adventist Church (Nanjing),南京基督覆臨安息日會辦公室,,nánjīng jīdū fùlín ānxīrì huìbàn gōngshì,C_000234,Seventh-Day Advent Mission,,Ecclesial,,,,Protestant,,,Y_755,,
南京下關道勝堂,TN_0309,Nanjing Xiaguan Daosheng Church,南京下關道勝堂,,nánjīng xiàguān dào shèngtáng,,,,Ecclesial,Church,,,Protestant,,,Y_747,,
鎮江小碼頭福音堂,TN_0310,Zhenjiang Xiaomatou Church,鎮江小碼頭福音堂,,zhènjiāng xiǎo mǎtóu fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_821,,
江蘇宜興湖㳇耶穌堂,TN_0311,Yixing Huzhai Yesu Church  (Jiangsu) ,江蘇宜興湖㳇耶穌堂,,jiāngsūyí xīnghú 㳇 yēsū táng,,,Yixing Huzhai Jesus Church  (Jiangsu) ,Ecclesial,Church,,,Protestant,,,Y_791,,
寧波浙江教區山北牧區聖彼得堂,TN_0312,"Zhejiang Diocesan Shen Bide Church (Shanbei Parish, Ningbo)",寧波浙江教區山北牧區聖彼得堂,,níngbō zhèjiāng jiàoqū shānběi mùqū shèng bǐdé táng,,,"Zhejiang Diocesan St. Peter's Church (Shanbei Parish, Ningbo)",Ecclesial,Church,,,Protestant,,,F_145,,
寧波浙江教區山北牧區聖雅各堂,TN_0313,"Zhejiang Diocesan Shen Yage Church (Shanbei Parish, Ningbo)",寧波浙江教區山北牧區聖雅各堂,,níngbō zhèjiāng jiàoqū shānběi mùqū shèng yǎgè táng,,,"Zhejiang Diocesan St.James's Church (Shanbei Parish, Ningbo)",Ecclesial,Church,,,Protestant,,,F_145,,
嘉善鐘埭堂,TN_0314,Jiashan Zhongdai Church,嘉善鐘埭堂,,jiāshàn zhōngdàitáng,,,,Ecclesial,Church,,,Protestant,,,Y_2814,,
浙江吳興織里福音堂,TN_0315,Wuxing Zhili Church (Zhejiang),浙江吳興織里福音堂,,zhèjiāng wúxīngzhī lǐ fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_2809,,
浙江平湖大通橋福音堂,TN_0316,Pinghu Datong Bridge Chuch (Zhejiang ),浙江平湖大通橋福音堂,,zhèjiāng pínghú dàtōng qiáo fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_2814,,
浙江義烏上溪堂,TN_0317,Yiwu Shangxi Church (Zhejiang),浙江義烏上溪堂,,zhèjiāng yìwūshàng xītáng,,,,Ecclesial,Church,,,Protestant,,,Y_2824,,
浙江義烏吳店堂,TN_0318,Yiwu Wudian Church ( Zhejiang),浙江義烏吳店堂,,zhèjiāng yìwūwú diàntáng,,,,Ecclesial,Church,,,Protestant,,,Y_2824,,
浙江義烏佛堂鎮張宅耶穌堂,TN_0319,Fotang Town Zhang Family's Jesus Church (Zhejiang) ,浙江義烏佛堂鎮張宅耶穌堂,,zhèjiāng yìwū fótáng zhènzhāng zháiyēsū táng,,,,Ecclesial,Church,,,Protestant,,,Y_2824,,
浙江義亭站義亭堂,TN_0320,Yiting Station Yiting Church (Zhejiang),浙江義亭站義亭堂,,zhèjiāng yìtíng zhàn yìtíngtáng,,,,Ecclesial,Church,,,Protestant,,,Y_2824,,
浙江湖州城北通濟堂,TN_0321,Huzhou Tongji Church (Zhejiang) ,浙江湖州城北通濟堂,,zhèjiāng húzhōu chéngběi tōngjìtáng,,,,Ecclesial,Church,,,Protestant,,,Y_2809,,
浙江柯橋真神堂,TN_0322,Keqiao True God Church (Zhejiang) ,浙江柯橋真神堂,,zhèjiāng kēqiáo zhēn shéntáng,,,,Ecclesial,Church,,,Protestant,,,Y_2851,,
浙江柯橋基督教堂,TN_0323,Keqiao Christ Church (Zhejiang),浙江柯橋基督教堂,,zhèjiāng kēqiáo jīdūjiàotáng,,,,Ecclesial,Church,,,Protestant,,,Y_2851,,
浙江金華呂塘下基督教真神堂,TN_0324,Lvtangxia Christianity Zhenshen Church (Zhejiang) ,浙江金華呂塘下基督教真神堂,,zhèjiāng jīnhuá lǚtáng xià jīdūjiào zhēn shéntáng,,,,Ecclesial,Church,,,Protestant,,,Y_2822,,
浙江新市韶村堂,TN_0325,Xinshi Shao Village Church (Zhejiang) ,浙江新市韶村堂,,zhèjiāng xīnshì sháocūntáng,,,,Ecclesial,Church,,,Protestant,,,Y_2807,,
